hg_idx,config_name,edge,members,hlrc,hfrc,edge_label,k_uniform,num_comms,block_sizes,community_edge_probs,seed,node_labels
0,k3_two_comm,0,"['0', '1', '3']",0.15277777777777768,-23,intra,3,2,15|15,0.1|0.001,123,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,k3_two_comm,1,"['0', '3', '14']",0.11752136752136744,-25,intra,3,2,15|15,0.1|0.001,123,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,k3_two_comm,2,"['0', '4', '6']",-0.025000000000000022,-17,intra,3,2,15|15,0.1|0.001,123,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,k3_two_comm,3,"['0', '6', '13']",-0.1611111111111111,-16,intra,3,2,15|15,0.1|0.001,123,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,k3_two_comm,4,"['0', '9', '10']",-0.025000000000000022,-23,intra,3,2,15|15,0.1|0.001,123,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,k3_two_comm,5,"['0', '9', '11']",-0.21944444444444444,-24,intra,3,2,15|15,0.1|0.001,123,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,k3_two_comm,6,"['1', '2', '9']",0.39015151515151514,-28,intra,3,2,15|15,0.1|0.001,123,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,k3_two_comm,7,"['1', '2', '12']",0.16035353535353536,-21,intra,3,2,15|15,0.1|0.001,123,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,k3_two_comm,8,"['1', '3', '7']",0.09166666666666662,-23,intra,3,2,15|15,0.1|0.001,123,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,k3_two_comm,9,"['1', '3', '22']",-0.5297619047619048,-28,inter,3,2,15|15,0.1|0.001,123,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,k3_two_comm,10,"['1', '4', '5']",0.125,-27,intra,3,2,15|15,0.1|0.001,123,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,k3_two_comm,11,"['1', '5', '14']",0.4391025641025641,-30,intra,3,2,15|15,0.1|0.001,123,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
